Suburb,Address,Lattitude,Longtitude,Distance,Type,Rooms,Bedroom2,Bathroom,Landsize
Abbotsford,85 Turner St,-37.7996,144.9984,2.5,h,2,2.0,1.0,202.0
Abbotsford,25 Bloomburg St,-37.8079,144.9934,2.5,h,2,2.0,1.0,156.0
Abbotsford,5 Charles St,-37.8093,144.9944,2.5,h,3,3.0,2.0,134.0
Abbotsford,40 Federation La,-37.7969,144.9969,2.5,h,3,3.0,2.0,94.0
Abbotsford,55a Park St,-37.8072,144.9941,2.5,h,4,3.0,1.0,120.0
Abbotsford,129 Charles St,-37.8041,144.9953,2.5,h,2,2.0,1.0,181.0
Abbotsford,124 Yarra St,-37.8024,144.9993,2.5,h,3,4.0,2.0,245.0
Abbotsford,98 Charles St,-37.806,144.9954,2.5,h,2,2.0,1.0,256.0
Abbotsford,6/241 Nicholson St,-37.8008,144.9973,2.5,u,1,1.0,1.0,0.0
Abbotsford,10 Valiant St,-37.801,144.9989,2.5,h,2,3.0,1.0,220.0
Abbotsford,411/8 Grosvenor St,-37.811,145.0067,2.5,u,2,2.0,2.0,0.0
Abbotsford,40 Nicholson St,-37.8085,144.9964,2.5,h,3,3.0,2.0,214.0
Abbotsford,123/56 Nicholson St,-37.8078,144.9965,2.5,u,2,2.0,2.0,0.0
Abbotsford,45 William St,-37.8084,144.9973,2.5,h,2,2.0,1.0,195.0
Abbotsford,7/20 Abbotsford St,-37.8016,144.9988,2.5,u,1,1.0,1.0,0.0
Abbotsford,16 William St,-37.809,144.9976,2.5,h,2,2.0,1.0,238.0
Abbotsford,42 Henry St,-37.8056,144.993,2.5,h,3,3.0,2.0,113.0
Abbotsford,78 Yarra St,-37.8021,144.9965,2.5,h,3,2.0,1.0,138.0
Abbotsford,196 Nicholson St,-37.8022,144.9975,2.5,h,3,3.0,1.0,183.0
Abbotsford,42 Valiant St,-37.8011,145.0004,2.5,h,2,2.0,1.0,150.0
Abbotsford,3/72 Charles St,-37.8073,144.9952,2.5,h,4,4.0,2.0,780.0
Abbotsford,13/11 Nicholson St,-37.8093,144.9959,2.5,t,3,3.0,2.0,0.0
Abbotsford,138/56 Nicholson St,-37.8078,144.9965,2.5,u,3,3.0,2.0,4290.0
Abbotsford,6/219 Nicholson St,-37.8015,144.9972,2.5,u,2,2.0,1.0,0.0
Abbotsford,52a William St,-37.8079,144.9977,2.5,h,2,2.0,2.0,124.0
Abbotsford,49 Park St,-37.808,144.994,2.5,h,2,2.0,1.0,147.0
Abbotsford,5/20 Abbotsford St,-37.8016,144.9988,2.5,u,1,1.0,1.0,0.0
Abbotsford,48 Abbotsford St,-37.8017,145.0001,2.5,h,3,3.0,3.0,166.0
Abbotsford,116/56 Nicholson St,-37.8078,144.9965,2.5,u,1,1.0,1.0,0.0
Abbotsford,159 Park St,-37.8005,144.9952,2.5,h,2,2.0,2.0,98.0
Abbotsford,31 Turner St,-37.7994,144.9965,2.5,h,4,4.0,3.0,0.0
Abbotsford,166 Gipps St,-37.805,144.9943,2.5,h,3,3.0,2.0,147.0
Abbotsford,60 Stafford St,-37.8007,144.9958,2.5,h,3,3.0,1.0,168.0
Abbotsford,11/205 Gipps St,-37.8055,144.9961,2.5,u,1,1.0,1.0,0.0
Abbotsford,47 Studley St,-37.8016,144.9956,2.5,h,2,2.0,1.0,162.0
Abbotsford,45 Yarra St,-37.8022,144.9954,2.5,h,3,3.0,2.0,120.0
