Suburb,Regionname,Postcode,Propertycount
Abbotsford,Northern Metropolitan,3067.0,4019.0
Airport West,Western Metropolitan,3042.0,3464.0
Albert Park,Southern Metropolitan,3206.0,3280.0
Alphington,Northern Metropolitan,3078.0,2211.0
Altona,Western Metropolitan,3018.0,5301.0
Altona North,Western Metropolitan,3025.0,5132.0
Armadale,Southern Metropolitan,3143.0,4836.0
Ascot Vale,Western Metropolitan,3032.0,6567.0
Ashburton,Southern Metropolitan,3147.0,3052.0
Ashwood,Southern Metropolitan,3147.0,2894.0
Avondale Heights,Western Metropolitan,3034.0,4502.0
Balaclava,Southern Metropolitan,3183.0,2952.0
Balwyn,Southern Metropolitan,3103.0,5682.0
Balwyn North,Southern Metropolitan,3104.0,7809.0
Bentleigh,Southern Metropolitan,3204.0,6795.0
Bentleigh East,Southern Metropolitan,3165.0,10969.0
Box Hill,Eastern Metropolitan,3128.0,4605.0
Braybrook,Western Metropolitan,3019.0,3589.0
Brighton,Southern Metropolitan,3186.0,10579.0
Brighton East,Southern Metropolitan,3187.0,6938.0
Brunswick,Northern Metropolitan,3056.0,11918.0
Brunswick West,Northern Metropolitan,3055.0,7082.0
Bulleen,Eastern Metropolitan,3105.0,4480.0
Burwood,Southern Metropolitan,3125.0,5678.0
Camberwell,Southern Metropolitan,3124.0,8920.0
Canterbury,Southern Metropolitan,3126.0,3265.0
Carlton North,Northern Metropolitan,3054.0,3106.0
Carnegie,Southern Metropolitan,3163.0,7822.0
Caulfield,Southern Metropolitan,3162.0,2379.0
Caulfield North,Southern Metropolitan,3161.0,6923.0
Caulfield South,Southern Metropolitan,3162.0,5051.0
Chadstone,Southern Metropolitan,3148.0,3582.0
Clifton Hill,Northern Metropolitan,3068.0,2954.0
Coburg,Northern Metropolitan,3058.0,11204.0
Coburg North,Northern Metropolitan,3058.0,3445.0
Collingwood,Northern Metropolitan,3066.0,4553.0
Doncaster,Eastern Metropolitan,3108.0,9028.0
Eaglemont,Eastern Metropolitan,3084.0,1651.0
Elsternwick,Southern Metropolitan,3185.0,4898.0
Elwood,Southern Metropolitan,3184.0,8989.0
Essendon,Western Metropolitan,3040.0,9264.0
Essendon North,Western Metropolitan,3041.0,1308.0
Fairfield,Northern Metropolitan,3078.0,2970.0
Fitzroy,Northern Metropolitan,3065.0,5825.0
Fitzroy North,Northern Metropolitan,3068.0,6244.0
Flemington,Northern Metropolitan,3031.0,3593.0
Footscray,Western Metropolitan,3011.0,7570.0
Glen Iris,Southern Metropolitan,3146.0,10412.0
Glenroy,Northern Metropolitan,3046.0,8870.0
Gowanbrae,Western Metropolitan,3043.0,1071.0
Hadfield,Northern Metropolitan,3046.0,2606.0
Hampton,Southern Metropolitan,3188.0,5454.0
Hampton East,Southern Metropolitan,3188.0,2356.0
Hawthorn,Southern Metropolitan,3122.0,11308.0
Heidelberg Heights,Eastern Metropolitan,3081.0,2947.0
Heidelberg West,Eastern Metropolitan,3081.0,2674.0
Hughesdale,Southern Metropolitan,3166.0,3145.0
Ivanhoe,Eastern Metropolitan,3079.0,5549.0
Kealba,Western Metropolitan,3021.0,1202.0
Keilor East,Western Metropolitan,3033.0,5629.0
Kensington,Northern Metropolitan,3031.0,5263.0
Kew,Southern Metropolitan,3101.0,10331.0
Kew East,Southern Metropolitan,3102.0,2671.0
Kooyong,Southern Metropolitan,3144.0,394.0
Maidstone,Western Metropolitan,3012.0,3873.0
Malvern,Southern Metropolitan,3144.0,4675.0
Malvern East,Southern Metropolitan,3145.0,8801.0
Maribyrnong,Western Metropolitan,3032.0,4918.0
Melbourne,Northern Metropolitan,3000.0,17496.0
Middle Park,Southern Metropolitan,3206.0,2019.0
Mont Albert,Eastern Metropolitan,3127.0,2079.0
Moonee Ponds,Western Metropolitan,3039.0,6232.0
Moorabbin,Southern Metropolitan,3189.0,2555.0
Newport,Western Metropolitan,3015.0,5498.0
Niddrie,Western Metropolitan,3042.0,2291.0
North Melbourne,Northern Metropolitan,3051.0,6821.0
Northcote,Northern Metropolitan,3070.0,11364.0
Oak Park,Northern Metropolitan,3046.0,2651.0
Oakleigh South,South-Eastern Metropolitan,3167.0,3692.0
Parkville,Northern Metropolitan,3052.0,2309.0
Pascoe Vale,Northern Metropolitan,3044.0,7485.0
Port Melbourne,Southern Metropolitan,3207.0,8648.0
Prahran,Southern Metropolitan,3181.0,7717.0
Preston,Northern Metropolitan,3072.0,14577.0
Reservoir,Northern Metropolitan,3073.0,21650.0
Richmond,Northern Metropolitan,3121.0,14949.0
Rosanna,Eastern Metropolitan,3084.0,3540.0
Seddon,Western Metropolitan,3011.0,2417.0
South Melbourne,Southern Metropolitan,3205.0,5943.0
South Yarra,Southern Metropolitan,3141.0,14887.0
Southbank,Southern Metropolitan,3006.0,8400.0
Spotswood,Western Metropolitan,3015.0,1223.0
