sale_no,Address,CouncilArea,YearBuilt,BuildingArea,Car,Price,Date,Method,SellerG
1,85 Turner St,Yarra,,,1.0,1480000.0,3/12/2016,S,Biggin
2,25 Bloomburg St,Yarra,1900.0,79.0,0.0,1035000.0,4/02/2016,S,Biggin
3,5 Charles St,Yarra,1900.0,150.0,0.0,1465000.0,4/03/2017,SP,Biggin
4,40 Federation La,Yarra,,,1.0,850000.0,4/03/2017,PI,Biggin
5,55a Park St,Yarra,2014.0,142.0,2.0,1600000.0,4/06/2016,VB,Nelson
6,129 Charles St,Yarra,,,0.0,941000.0,7/05/2016,S,Jellis
7,124 Yarra St,Yarra,1910.0,210.0,0.0,1876000.0,7/05/2016,S,Nelson
8,98 Charles St,Yarra,1890.0,107.0,2.0,1636000.0,8/10/2016,S,Nelson
9,6/241 Nicholson St,Yarra,,,1.0,300000.0,8/10/2016,S,Biggin
10,10 Valiant St,Yarra,1900.0,75.0,2.0,1097000.0,8/10/2016,S,Biggin
11,411/8 Grosvenor St,Yarra,,,1.0,700000.0,12/11/2016,VB,Jellis
12,40 Nicholson St,Yarra,2005.0,190.0,2.0,1350000.0,12/11/2016,VB,Nelson
13,123/56 Nicholson St,Yarra,2009.0,94.0,1.0,750000.0,12/11/2016,S,Biggin
14,45 William St,Yarra,,,1.0,1172500.0,13/08/2016,S,Biggin
15,7/20 Abbotsford St,Yarra,,,1.0,441000.0,14/05/2016,SP,Greg
16,16 William St,Yarra,1890.0,97.0,2.0,1310000.0,15/10/2016,S,Jellis
17,42 Henry St,Yarra,1880.0,110.0,1.0,1200000.0,16/07/2016,S,Jellis
18,78 Yarra St,Yarra,1890.0,105.0,1.0,1176500.0,16/07/2016,S,LITTLE
19,196 Nicholson St,Yarra,,,0.0,955000.0,17/09/2016,S,Collins
20,42 Valiant St,Yarra,1985.0,73.0,1.0,890000.0,17/09/2016,S,Biggin
21,3/72 Charles St,Yarra,1900.0,135.0,2.0,1330000.0,18/03/2017,PI,Kay
22,13/11 Nicholson St,Yarra,2010.0,,2.0,900000.0,18/03/2017,S,Beller
23,138/56 Nicholson St,Yarra,,27.0,2.0,1090000.0,18/03/2017,S,Jellis
24,6/219 Nicholson St,Yarra,1970.0,60.0,1.0,500000.0,18/06/2016,S,Collins
25,52a William St,Yarra,2013.0,135.0,1.0,1100000.0,18/06/2016,PI,Biggin
26,49 Park St,Yarra,1900.0,85.0,0.0,1315000.0,19/11/2016,S,Marshall
27,5/20 Abbotsford St,Yarra,,,1.0,426000.0,22/08/2016,SP,Greg
28,48 Abbotsford St,Yarra,2012.0,174.0,1.0,1447500.0,22/08/2016,PI,Nelson
29,116/56 Nicholson St,Yarra,,50.0,1.0,457000.0,22/08/2016,S,Jellis
30,159 Park St,Yarra,1920.0,128.0,2.0,1135000.0,22/08/2016,S,Nelson
31,31 Turner St,Yarra,,,1.0,1542000.0,24/09/2016,S,Collins
32,166 Gipps St,Yarra,,18.0,2.0,1290000.0,25/02/2017,S,Biggin
33,60 Stafford St,Yarra,1950.0,124.0,1.0,1290000.0,25/02/2017,S,Biggin
34,11/205 Gipps St,Yarra,2013.0,50.0,1.0,470000.0,26/07/2016,S,Nelson
35,47 Studley St,Yarra,1900.0,91.0,0.0,1180000.0,27/11/2016,S,Jellis
36,45 Yarra St,Yarra,1998.0,128.0,1.0,1195000.0,27/11/2016,SP,Jellis
37,200 Nicholson St,Yarra,1900.0,82.0,0.0,1012500.0,28/05/2016,S,Nelson
38,27 Charles St,Yarra,1930.0,81.0,1.0,1030000.0,30/07/2016,S,Biggin
39,154 Halsey Rd,Moonee Valley,2016.0,225.0,1.0,840000.0,3/09/2016,PI,Nelson
40,50 Bedford St,Moonee Valley,1965.0,145.0,1.0,730000.0,3/12/2016,VB,Nelson
41,50 Bedford St,Moonee Valley,1965.0,145.0,1.0,770000.0,4/03/2017,SP,Nelson
42,23 Hart St,Moonee Valley,1950.0,84.0,1.0,603000.0,4/03/2017,S,Nelson
43,1/80 Hawker St,Moonee Valley,2009.0,134.0,2.0,700000.0,4/03/2017,S,Brad
44,1/37 Hillside Gr,Moonee Valley,1980.0,116.0,1.0,600000.0,4/03/2017,S,Maddison
45,2/49 McIntosh St,Moonee Valley,2011.0,86.0,1.0,500000.0,4/03/2017,VB,Barry
46,54 Marshall Rd,Moonee Valley,,,1.0,720000.0,6/08/2016,S,Barry
47,36 Roberts Rd,Moonee Valley,,127.0,2.0,785000.0,6/08/2016,S,Considine
48,11 Harrington Rd,Moonee Valley,1980.0,186.0,2.0,725000.0,7/05/2016,SP,Barry
49,2/252 Parer Rd,Moonee Valley,2015.0,90.0,1.0,450000.0,7/05/2016,S,Barry
50,3/19 Hart St,Moonee Valley,2013.0,73.0,1.0,515000.0,7/11/2016,S,Barry
51,2/62 Clydesdale Rd,Moonee Valley,2012.0,94.0,1.0,530000.0,10/09/2016,S,Nelson
52,3 Deidre Ct,Moonee Valley,1975.0,133.0,6.0,895000.0,10/09/2016,PI,Rendina
53,13 Etzel St,Moonee Valley,1950.0,105.0,1.0,805000.0,10/12/2016,S,Nelson
54,1/43 Cameron St,Moonee Valley,1993.0,130.0,1.0,752000.0,11/02/2017,S,Nelson
55,145a Victory Rd,Moonee Valley,,,1.0,440000.0,13/08/2016,S,Barry
56,241 Parer Rd,Moonee Valley,,,2.0,755000.0,14/05/2016,PI,Propertyau
57,2/40 Earl St,Moonee Valley,2009.0,133.0,2.0,700000.0,15/10/2016,PI,Brad
58,180 Parer Rd,Moonee Valley,1960.0,113.0,2.0,830000.0,16/04/2016,S,Barry
59,4/54 Hawker St,Moonee Valley,2003.0,,1.0,462500.0,16/07/2016,S,Barry
60,43 Hillside Gr,Moonee Valley,,,2.0,670000.0,16/07/2016,SP,Barry
61,174 Parer Rd,Moonee Valley,1975.0,100.0,1.0,675000.0,16/07/2016,S,Barry
62,138 Victory Rd,Moonee Valley,1950.0,174.0,5.0,1042000.0,16/07/2016,S,Nelson
63,75 King St,Moonee Valley,,,1.0,910000.0,17/09/2016,S,McDonald
64,6 Kittyhawk St,Moonee Valley,1980.0,309.0,4.0,773000.0,17/09/2016,S,Brad
65,478 Fullarton Rd,Moonee Valley,1980.0,192.0,2.0,810000.0,18/03/2017,PI,Barry
66,144 Marshall Rd,Moonee Valley,1995.0,126.0,2.0,715000.0,18/03/2017,S,Rendina
67,106 Parer Rd,Moonee Valley,,,3.0,790000.0,18/03/2017,S,Nelson
68,3/7 South Rd,Moonee Valley,2010.0,101.0,1.0,540000.0,18/06/2016,SP,Nelson
69,37 North St,Moonee Valley,1960.0,102.0,1.0,825000.0,19/11/2016,SP,Barry
70,10 Hilbert Rd,Moonee Valley,1975.0,113.0,1.0,685000.0,22/05/2016,S,Barry
71,110 Halsey Rd,Moonee Valley,,,1.0,805000.0,22/08/2016,S,Barry
72,2/13 North St,Moonee Valley,,76.0,1.0,510000.0,22/08/2016,S,Nelson
73,105a Victory Rd,Moonee Valley,,,1.0,612000.0,22/08/2016,S,Nelson
74,117 Marshall Rd,Moonee Valley,,,2.0,662000.0,23/04/2016,S,Brad
75,34 Moorna Dr,Moonee Valley,,,2.0,978000.0,24/09/2016,S,Nelson
76,33 North St,Moonee Valley,,,1.0,720000.0,25/02/2017,PI,Nelson
77,49 Roberts Rd,Moonee Valley,,,2.0,765000.0,27/11/2016,S,Prof.
78,85 Roberts Rd,Moonee Valley,1975.0,146.0,3.0,900000.0,27/11/2016,S,Harcourts
79,105 Kerferd Rd,Port Phillip,1900.0,82.0,0.0,1275000.0,3/09/2016,S,hockingstuart
80,85 Richardson St,Port Phillip,,,0.0,1455000.0,3/09/2016,S,Thomson
81,112 Beaconsfield Pde,Port Phillip,1890.0,198.0,0.0,2850000.0,4/03/2017,PI,Buxton
82,94 Graham St,Port Phillip,1890.0,133.0,0.0,1850000.0,4/03/2017,S,Greg
83,396 Montague St,Port Phillip,1900.0,81.0,0.0,1436000.0,4/03/2017,S,RT
84,75 Graham St,Port Phillip,1900.0,,0.0,1110000.0,6/08/2016,S,Marshall
85,54 Brooke St,Port Phillip,,,1.0,1550000.0,7/05/2016,S,Sotheby's
86,104 Richardson St,Port Phillip,1880.0,180.0,1.0,2300000.0,7/05/2016,S,Marshall
87,4a Mills St,Port Phillip,,,2.0,1550000.0,7/11/2016,VB,Marshall
88,1 Moubray St,Port Phillip,1996.0,159.0,1.0,1800000.0,7/11/2016,VB,Greg
89,29 Faussett St,Port Phillip,1900.0,107.0,1.0,2120000.0,10/09/2016,S,Greg
90,3 Herbert St,Port Phillip,,,1.0,1800000.0,10/09/2016,VB,Cayzer
91,24 Kerferd Pl,Port Phillip,1900.0,122.0,1.0,1800000.0,10/09/2016,S,Marshall
92,44 Draper St,Port Phillip,,,0.0,1810000.0,10/12/2016,PI,Greg
93,2 Dundas Pl,Port Phillip,1880.0,181.0,1.0,2615000.0,10/12/2016,S,Cayzer
94,23 Finlay St,Port Phillip,,,1.0,2100000.0,10/12/2016,S,Greg
95,31 Richardson St,Port Phillip,,,0.0,1300000.0,10/12/2016,S,hockingstuart
96,4a Gatehouse La,Port Phillip,2000.0,85.0,2.0,1370000.0,12/06/2016,S,Greg
97,60 Brooke St,Port Phillip,,,0.0,1000000.0,12/11/2016,S,Cayzer
98,70 Barrett St,Port Phillip,,,1.0,2575000.0,15/10/2016,S,Greg
99,65 Graham St,Port Phillip,1890.0,98.0,0.0,1322500.0,15/10/2016,S,Greg
100,364 Montague St,Port Phillip,1890.0,83.0,0.0,1562500.0,15/10/2016,S,Greg
101,86 Mills St,Port Phillip,1900.0,147.0,1.0,2000000.0,16/04/2016,VB,RT
102,129 Kerferd Rd,Port Phillip,1900.0,,0.0,1900000.0,18/03/2017,S,Greg
103,97 Page St,Port Phillip,1890.0,146.0,0.0,3010000.0,18/03/2017,S,Greg
104,55 Withers St,Port Phillip,1910.0,254.0,1.0,2800000.0,18/06/2016,VB,Cayzer
105,10/140 Kerferd Rd,Port Phillip,,,1.0,647000.0,22/05/2016,S,Greg
106,55 Merton St,Port Phillip,1900.0,123.0,1.0,2100000.0,23/04/2016,SP,Marshall
107,49 Page St,Port Phillip,1890.0,131.0,1.0,2000000.0,24/09/2016,PI,Marshall
108,13/52 Moubray St,Port Phillip,1970.0,34.0,0.0,442500.0,25/02/2017,S,Marshall
109,115 Page St,Port Phillip,1910.0,207.0,1.0,4735000.0,25/02/2017,S,Marshall
110,32 Page St,Port Phillip,,,0.0,1340000.0,25/02/2017,S,Greg
111,34 Richardson St,Port Phillip,,,1.0,1801000.0,25/02/2017,S,hockingstuart
112,2b Dundas Pl,Port Phillip,,,1.0,1532000.0,26/07/2016,S,Chisholm
113,22 Greig St,Port Phillip,,,2.0,3755000.0,26/07/2016,S,Greg
114,27 Barrett St,Port Phillip,1880.0,145.0,1.0,2140000.0,27/06/2016,S,Greg
115,44 Greig St,Port Phillip,,,1.0,1750000.0,27/11/2016,S,Marshall
116,6 Brooke St,Port Phillip,1890.0,68.0,0.0,980000.0,28/05/2016,S,Greg
117,227a Danks St,Port Phillip,,,0.0,2030000.0,28/08/2016,S,hockingstuart
118,17 Reed St,Port Phillip,1890.0,134.0,2.0,1740000.0,28/08/2016,PI,Marshall
119,74 Bridport St,Port Phillip,,,1.0,2800000.0,30/07/2016,VB,Buxton
120,9 Durham St,Port Phillip,1900.0,54.0,0.0,985000.0,30/07/2016,S,Marshall
121,6 Smith St,Darebin,1930.0,263.0,4.0,2000000.0,3/09/2016,S,Brace
122,5/6 Yarralea St,Yarra,2013.0,,2.0,1110000.0,3/09/2016,S,Jellis
123,136A Fulham Rd,Darebin,,,2.0,1492000.0,4/03/2017,S,Jellis
124,44 Shiers St,Darebin,1925.0,203.0,1.0,1717500.0,8/10/2016,S,Collins
125,83 Fulham Rd,Darebin,1910.0,165.0,4.0,2840000.0,12/06/2016,S,Nelson
126,3/19 Harker St,Darebin,1960.0,60.0,1.0,525500.0,12/11/2016,S,Miles
127,4/2 Miller St,Darebin,2004.0,140.0,3.0,805000.0,12/11/2016,S,Miles
128,2/5 Yarana Rd,Darebin,,,1.0,465000.0,12/11/2016,S,McGrath
129,815 Heidelberg Rd,Darebin,,,2.0,2000000.0,15/10/2016,PI,hockingstuart
130,44 Naroon Rd,Darebin,,,2.0,1540000.0,16/04/2016,S,Nelson
131,3/98 Grange Rd,Darebin,,,1.0,820000.0,18/03/2017,S,Nelson
132,10 Bennett St,Darebin,1970.0,112.0,2.0,1830000.0,19/11/2016,S,Nelson
133,38 Bennett St,Darebin,2008.0,271.0,2.0,2100000.0,19/11/2016,S,Nelson
134,2c Hamilton St,Darebin,2010.0,131.0,1.0,865000.0,22/05/2016,SP,hockingstuart
135,5/5 Yarana Rd,Darebin,1960.0,60.0,1.0,390000.0,22/05/2016,VB,Nelson
136,7/7 Chandler Hwy,Yarra,,,0.0,650000.0,24/09/2016,SP,Brace
137,1/14 Fulham Rd,Darebin,1965.0,61.0,1.0,512000.0,25/02/2017,S,Love
138,22 Lowther St,Yarra,,,2.0,1165000.0,27/06/2016,S,Barry
139,11 Margaret Gr,Yarra,1930.0,272.0,2.0,1900000.0,27/11/2016,SP,McGrath
140,6 Naroon Rd,Darebin,,,0.0,1485000.0,28/08/2016,SP,McGrath
141,42 Shiers St,Darebin,1920.0,210.0,3.0,1950000.0,30/07/2016,S,Jellis
