sale_no,Address,CouncilArea,Car,Price,Date,Method,SellerG,Suburb,Regionname,Postcode,Propertycount,Lattitude,Longtitude,Distance,Type,Rooms,Bedroom2,Bathroom,Landsize,YearBuilt,BuildingArea
2,25 Bloomburg St,Yarra,0,1035000.0,4/02/2016,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8079,144.9934,2.5,h,2,2,1,156.0,1900,79.0
3,5 Charles St,Yarra,0,1465000.0,4/03/2017,SP,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8093,144.9944,2.5,h,3,3,2,134.0,1900,150.0
3,5 Charles St,Yarra,0,1465000.0,4/03/2017,SP,Biggin,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8509,145.0916,9.2,h,4,4,2,659.0,1900,150.0
3,5 Charles St,Yarra,0,1465000.0,4/03/2017,SP,Biggin,Sunshine North,Western Metropolitan,3020.0,4217,-37.7749,144.8329,13.3,h,4,4,2,570.0,1900,150.0
5,55a Park St,Yarra,2,1600000.0,4/06/2016,VB,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8072,144.9941,2.5,h,4,3,1,120.0,2014,142.0
7,124 Yarra St,Yarra,0,1876000.0,7/05/2016,S,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8024,144.9993,2.5,h,3,4,2,245.0,1910,210.0
8,98 Charles St,Yarra,2,1636000.0,8/10/2016,S,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.806,144.9954,2.5,h,2,2,1,256.0,1890,107.0
10,10 Valiant St,Yarra,2,1097000.0,8/10/2016,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.801,144.9989,2.5,h,2,3,1,220.0,1900,75.0
12,40 Nicholson St,Yarra,2,1350000.0,12/11/2016,VB,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8085,144.9964,2.5,h,3,3,2,214.0,2005,190.0
13,123/56 Nicholson St,Yarra,1,750000.0,12/11/2016,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8078,144.9965,2.5,u,2,2,2,0.0,2009,94.0
16,16 William St,Yarra,2,1310000.0,15/10/2016,S,Jellis,Abbotsford,Northern Metropolitan,3067.0,4019,-37.809,144.9976,2.5,h,2,2,1,238.0,1890,97.0
17,42 Henry St,Yarra,1,1200000.0,16/07/2016,S,Jellis,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8056,144.993,2.5,h,3,3,2,113.0,1880,110.0
18,78 Yarra St,Yarra,1,1176500.0,16/07/2016,S,LITTLE,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8021,144.9965,2.5,h,3,2,1,138.0,1890,105.0
20,42 Valiant St,Yarra,1,890000.0,17/09/2016,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8011,145.0004,2.5,h,2,2,1,150.0,1985,73.0
21,3/72 Charles St,Yarra,2,1330000.0,18/03/2017,PI,Kay,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8073,144.9952,2.5,h,4,4,2,780.0,1900,135.0
24,6/219 Nicholson St,Yarra,1,500000.0,18/06/2016,S,Collins,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8015,144.9972,2.5,u,2,2,1,0.0,1970,60.0
25,52a William St,Yarra,1,1100000.0,18/06/2016,PI,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8079,144.9977,2.5,h,2,2,2,124.0,2013,135.0
26,49 Park St,Yarra,0,1315000.0,19/11/2016,S,Marshall,Abbotsford,Northern Metropolitan,3067.0,4019,-37.808,144.994,2.5,h,2,2,1,147.0,1900,85.0
28,48 Abbotsford St,Yarra,1,1447500.0,22/08/2016,PI,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8017,145.0001,2.5,h,3,3,3,166.0,2012,174.0
30,159 Park St,Yarra,2,1135000.0,22/08/2016,S,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8005,144.9952,2.5,h,2,2,2,98.0,1920,128.0
33,60 Stafford St,Yarra,1,1290000.0,25/02/2017,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8007,144.9958,2.5,h,3,3,1,168.0,1950,124.0
34,11/205 Gipps St,Yarra,1,470000.0,26/07/2016,S,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8055,144.9961,2.5,u,1,1,1,0.0,2013,50.0
35,47 Studley St,Yarra,0,1180000.0,27/11/2016,S,Jellis,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8016,144.9956,2.5,h,2,2,1,162.0,1900,91.0
36,45 Yarra St,Yarra,1,1195000.0,27/11/2016,SP,Jellis,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8022,144.9954,2.5,h,3,3,2,120.0,1998,128.0
37,200 Nicholson St,Yarra,0,1012500.0,28/05/2016,S,Nelson,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8021,144.9976,2.5,h,2,2,1,182.0,1900,82.0
38,27 Charles St,Yarra,1,1030000.0,30/07/2016,S,Biggin,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8086,144.9946,2.5,h,2,2,1,172.0,1930,81.0
39,154 Halsey Rd,Moonee Valley,1,840000.0,3/09/2016,PI,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.718,144.878,13.5,t,3,3,2,303.0,2016,225.0
40,50 Bedford St,Moonee Valley,1,730000.0,3/12/2016,VB,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7203,144.8755,13.5,h,3,3,2,0.0,1965,145.0
41,50 Bedford St,Moonee Valley,1,770000.0,4/03/2017,SP,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7203,144.8755,13.5,h,3,3,2,0.0,1965,145.0
42,23 Hart St,Moonee Valley,1,603000.0,4/03/2017,S,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7294,144.888,13.5,h,2,2,1,272.0,1950,84.0
43,1/80 Hawker St,Moonee Valley,2,700000.0,4/03/2017,S,Brad,Airport West,Western Metropolitan,3042.0,3464,-37.7218,144.8837,13.5,t,3,3,2,239.0,2009,134.0
44,1/37 Hillside Gr,Moonee Valley,1,600000.0,4/03/2017,S,Maddison,Airport West,Western Metropolitan,3042.0,3464,-37.7273,144.8744,13.5,h,3,2,1,290.0,1980,116.0
45,2/49 McIntosh St,Moonee Valley,1,500000.0,4/03/2017,VB,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7215,144.8864,13.5,u,2,2,1,168.0,2011,86.0
48,11 Harrington Rd,Moonee Valley,2,725000.0,7/05/2016,SP,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7239,144.8735,13.5,h,6,6,3,976.0,1980,186.0
